image_number,original_filename,label,visible_evidence,teaching_limit,teaching_status,feature_practice_eligible,prior_audit_label,prior_audit_confidence,prior_audit_relation,supplied_reviewer_read,reviewer_reconciliation,repository_files,authored_shaffer_grade,source_pages,image_path,source_sha256
55,"ChatGPT Image Aug 14, 2026, 04_11_23 PM (55).png",Focal pale inferior iris-angle tether,A small pale triangular attachment links inferior peripheral iris and angle region.,The attachment plane and fixation on indentation are not established.,review_only,False,Localized Inferior Iris Adhesion or Defect,low,qualified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/055-focal-pale-inferior-iris-angle-tether.png,75c2ef323d381e361dd7a6777b459773e9d87267570a79934e85590dd9937b21
56,"ChatGPT Image Aug 14, 2026, 04_11_23 PM (56).png",Subtle inferior iris-angle irregularity,A shallow focal inferior insertion change lies beside continuous bands.,A candidate adhesion is too subtle for definitive PAS recognition.,review_only,False,Localized Inferior Iris Adhesion or Defect,low,qualified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/056-subtle-inferior-iris-angle-irregularity.png,fbdab55e6356df40f087847ffcdce4cf4a73316ab92c54f342f3fdc36cd1a230
57,"ChatGPT Image Aug 14, 2026, 04_11_23 PM (57).png",Superior nodules and metallic-appearing sheet,Large pigmented superior nodules accompany a reflective gray sheet.,The metallic sheet is a rendering anomaly; not a reliable ICE subtype exemplar.,review_only,False,Superior Row of Angle Defects or Postoperative Changes,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/057-superior-nodules-and-metallic-appearing-sheet.png,4893ca6a07aa4ae0f12a3813e058329769c68756f3d4a1c15d023dd98a12e13d
58,"ChatGPT Image Aug 14, 2026, 04_11_23 PM (58).png",Superior pigmented iris nodules and membrane,A superior nodule cluster accompanies an irregular brown-gray sheet and contour change.,Nodular iris disease can be discussed; Cogan-Reese needs clinical context.,comparison,False,Superior Row of Angle Defects or Postoperative Changes,low,reclassified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/058-superior-pigmented-iris-nodules-and-membrane.png,259117d2528a8ecb51c3ef8d94461c30703e6d4819adba4d14ed4e05cf92488e
59,"ChatGPT Image Aug 14, 2026, 04_11_24 PM (59).png",Large focal iris mass appearance,A rounded upper-right pigmented bulge projects centrally; outer bands remain visible.,An iris mass does not establish melanoma or angle invasion.,review_only,False,Large Sectoral Iris Prolapse or PAS,low,reclassified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/059-large-focal-iris-mass-appearance.png,18439cd118739cc65f73ef9c386d9e507bd564d86381efb4aab82664780e0fc8
60,"ChatGPT Image Aug 14, 2026, 04_11_24 PM (60).png",Focal tan iris mass appearance,A smooth tan upper-right bulge changes the inner iris contour.,Angle closure and histologic tumor type are not demonstrated.,review_only,False,Large Sectoral Iris Prolapse or PAS,low,reclassified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/060-focal-tan-iris-mass-appearance.png,33ac5f9def9c37a882d0aac1b1e10af9206520f1c631afd7998e7ce0c052a39e
61,"ChatGPT Image Aug 14, 2026, 04_11_24 PM (61).png",Small focal iris mass appearance,A smaller upper-right brown bulge projects centrally without clear angle interruption.,Elevation is visible; etiology and invasion are not established.,review_only,False,Sectoral Superior Iris Protrusion or PAS,low,reclassified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/061-small-focal-iris-mass-appearance.png,1342420533790069f899eebef15b8e7e8bef9e7902d1317e4207c31b96874473
62,"ChatGPT Image Aug 14, 2026, 04_11_24 PM (62).png",Diffuse violaceous peripheral iris band,A smooth purple-brown peripheral band lies beside exposed pale outer landmarks.,"Color alone cannot establish effusion, inflammation or closure.",review_only,False,Circumferential Red Angle Band Probable Blood in Schlemm Canal,moderate,reclassified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/062-diffuse-violaceous-peripheral-iris-band.png,6088493e122c050f2c518063b7f4d8232f58c486dba43aff18d12643079f496c
63,"ChatGPT Image Aug 14, 2026, 04_11_24 PM (63).png",Light angle pigmentation with smooth peripheral iris,Light tan iris and a thin dark posterior boundary lie beside visible pale bands.,Exact angular width and a narrowing mechanism cannot be measured.,comparison,False,Diffuse Angle Hypopigmentation,moderate,qualified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/063-light-angle-pigmentation-with-smooth-peripheral-iris.png,84bfa9e0cb195b1ca2aed424d0ccc339f5f4fa0d9df858ff5e86bbad061ab92e
64,"ChatGPT Image Aug 14, 2026, 04_11_25 PM (64).png",Reduced posterior landmark visibility,Iris approaches the pale outer bands with only a thin posterior interval.,"Retain the authored Grade 1 comparison designation, not a measured angle.",comparison,False,Open Angle No Definite Pathology,high,reclassified,,,atlas_closure_g1.png,1,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/064-reduced-posterior-landmark-visibility.png,d600fc3ddafba11e4f01648dbf42b0a518fdcae8c8db3a2fb0775a586cc2e99f
65,"ChatGPT Image Aug 14, 2026, 04_11_25 PM (65).png",Diffuse reddish peripheral iris,Red-orange iris color is strongest toward image-right and inferiorly.,No distinct canal-localized red column supports the repository canal-blood label.,review_only,False,Diffuse Iris or Angle Hypopigmentation,low,reclassified,,,atlas_blood_schlemm.png,,"A: printed 45, 94-95, 107 / PDF 46, 95-96, 108; B: printed 21, 113 / PDF 31, 120",images/065-diffuse-reddish-peripheral-iris.png,760022764895a7d09f00e5f9bd5719ecf61503c016baed6b763803da5cc6744f
66,"ChatGPT Image Aug 14, 2026, 04_11_25 PM (66).png",Inferior-right hemorrhagic-appearing sector,A broad pink-purple congested sector near 3-6 o'clock distorts iris contour.,Hemorrhagic appearance is clear; a particular injury or cleft is not demonstrated.,comparison,False,Large Inferotemporal Hemorrhagic or Pigmented Sector,low,qualified,Inferotemporal haemorrhagic sector,Corroborated visible finding; anatomical laterality remains unknown.,,,"A: printed 45, 94-95, 107 / PDF 46, 95-96, 108; B: printed 21, 113 / PDF 31, 120",images/066-inferior-right-hemorrhagic-appearing-sector.png,52b3e5a1fef5846362902a191b2f69572af81a6384efbfe4d56c9467dfc2816d
67,"ChatGPT Image Aug 14, 2026, 04_11_25 PM (67).png",Subtle inferior iris elevation,A small smooth inferior contour elevation lies beside exposed bands.,It does not establish buckle-related closure or a particular mass mechanism.,review_only,False,Open Angle No Definite Pathology,high,reclassified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/067-subtle-inferior-iris-elevation.png,c0dc292612bd824be24aea4c5ada7d6d41eaeacd81e3a14b9a0454c7074eef92
68,"ChatGPT Image Aug 14, 2026, 04_11_25 PM (68).png",Inferior-right congested iris elevation,A reddish-brown bulge near 4-6 o'clock projects centrally; outer bands remain visible.,Focal swelling is not equivalent to demonstrated closure.,review_only,False,Inferior Sectoral Blood in Schlemm Canal,low,reclassified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/068-inferior-right-congested-iris-elevation.png,ff029aeb1dc5c102fd84ff6dade5421d3261397d7c5ff43d77e7946a23afb12e
69,"ChatGPT Image Aug 14, 2026, 04_11_26 PM (69).png",Inferior iris stromal fibrils - iridoschisis pattern,Ragged tan fibrils arise from inferior and image-left iris and project centrally.,"This is stromal splitting, not angle processes, PAS or red neovascular vessels; motion is not shown.",core_feature,True,Inferonasal Angle Neovascularization,high,reclassified,,,,,A: printed 85 / PDF 86; B: printed 155-156 / PDF 162-163,images/069-inferior-iris-stromal-fibrils-iridoschisis-pattern.png,b50e6ddd697ab28751849ed8b553e50141b4e819d007a7a2cc8d3834d1aa66d9
70,"ChatGPT Image Aug 14, 2026, 04_11_26 PM (70).png",Dense central optical haze,Gray central opacity and reflections obscure the central field while peripheral bands remain visible.,The image does not establish Fuchs dystrophy or complete angle ungradability.,review_only,False,Diffuse Corneal Edema Angle Not Gradable,moderate,qualified,,,,,"A: printed 38, 86 / PDF 39, 87; B: printed 151-152, 156-157 / PDF 158-159, 163-164",images/070-dense-central-optical-haze.png,1cefe7a61de998d19d083e961e9eb0653ba554da780aa8847f0dc359302e88f3
71,"ChatGPT Image Aug 14, 2026, 04_11_26 PM (71).png",Corneal sheen and fine surface irregularity,A transparent gray reticular reflective layer overlies a broader iris annulus.,Endothelial change is possible; a named dystrophy cannot be identified by texture alone.,review_only,False,Diffuse Iris Atrophy or Transillumination,low,reclassified,,,,,"A: printed 38, 86 / PDF 39, 87; B: printed 151-152, 156-157 / PDF 158-159, 163-164",images/071-corneal-sheen-and-fine-surface-irregularity.png,f619e20ba0619d94d6e306805565f09ba067c246dd3fd6d24a39d7ab07e7ef1d
72,"ChatGPT Image Aug 14, 2026, 04_11_26 PM (72).png",Fine corneal haze with punctate change,"Haze, punctate dots and reflections veil the view without complete angle obscuration.",Use for reduced clarity; do not infer a particular endothelial diagnosis or closure.,core_feature,True,Corneal Haze or Edema Angle Not Gradable,low,qualified,,,,,"A: printed 38, 86 / PDF 39, 87; B: printed 151-152, 156-157 / PDF 158-159, 163-164",images/072-fine-corneal-haze-with-punctate-change.png,4213b8f5dd74cdbf62c2acc0c6ed08a1456681c138c7053badfd2b3f34f16671
73,"ChatGPT Image Aug 14, 2026, 04_11_27 PM (73).png",Open angle with continuous posterior pigmentation,A dark posterior band lies beside exposed pale anterior landmarks.,Find the spur before assigning posterior darkness to TM rather than the ciliary body band.,comparison,False,Open Angle No Definite Pathology,high,qualified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/073-open-angle-with-continuous-posterior-pigmentation.png,30d56f7f25bb2751e1a28eb87fdc6c2eb84bd05b32ce50e1985c82ec12efa8e1
74,"ChatGPT Image Aug 14, 2026, 04_11_27 PM (74).png",Coarse circumferential angle pigmentation,Dense irregular brown-black granules occupy a broad circumferential band.,Pigment is unusually coarse; the pattern alone does not establish PXF or PDS.,core_feature,True,Heavy Diffuse TM Pigmentation,moderate,qualified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/074-coarse-circumferential-angle-pigmentation.png,24f4fbbd1ac6b383c2b128756747e369deab84a1a5193e7c6cf6e2cb93040dbb
75,"ChatGPT Image Aug 14, 2026, 04_11_27 PM (75).png",Patchy coarse angle pigmentation,"Dark clumps vary around the circumference, with larger inferior and image-left deposits.",A postoperative cause needs history; the visible feature is patchy pigment.,core_feature,True,Open Angle No Definite Pathology,high,reclassified,,,atlas_postsurgical_pigment.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/075-patchy-coarse-angle-pigmentation.png,8e8ad1fd09c34780e1c55d62481664d2e059b1f636677335017b6799273b8437
76,"ChatGPT Image Aug 14, 2026, 04_11_27 PM (76).png",Open angle with light anterior-band pigmentation,Pale anterior bands remain continuous beside a dark posterior boundary.,No focal lesion identifies a particular disease.,comparison,False,Open Angle No Definite Pathology,high,corroborated,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/076-open-angle-with-light-anterior-band-pigmentation.png,22d87ed9f1144ce9f447735ff2956118865e70e450fb3fae4a29027e5769c3c5
77,"ChatGPT Image Aug 14, 2026, 04_11_27 PM (77).png",Superior pigment and abnormal pale gap - rendering anomaly,A broad superior pigment band and white gap distort the annulus with dark reflective lines.,"Inconsistent planes make this unsuitable for melanocytosis, recession or cleft recognition.",review_only,False,Heavy Diffuse TM Pigmentation,moderate,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/077-superior-pigment-and-abnormal-pale-gap-rendering-anomaly.png,78a92064722cc9138e7a4a729ef1a08a714b36e04d5307cbf44c4bccc1c827b0
78,"ChatGPT Image Aug 14, 2026, 04_11_28 PM (78).png",Dense diffuse angle pigmentation,A very dark circumferential posterior angle band extends toward peripheral iris.,Melanocytosis needs additional ocular or skin evidence; pigment alone is not diagnostic.,core_feature,True,Heavy Circumferential TM Pigmentation,high,qualified,,,atlas_melanocytosis.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/078-dense-diffuse-angle-pigmentation.png,ef4b996e618fecc436dfb412b22643d75bcb74de803c109038d87215afae6647
79,"ChatGPT Image Aug 14, 2026, 04_11_28 PM (79).png",Dense angle and peripheral iris pigmentation,A dark band accompanies fine pigmented iris texture.,Do not infer melanocytosis or pigmentary glaucoma from pigment alone.,comparison,False,Heavy Circumferential TM Pigmentation,high,qualified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/079-dense-angle-and-peripheral-iris-pigmentation.png,4f36cee2662212913b05fa44cb3c39eb556c81a966466952e1c8fa49bf340c1b
80,"ChatGPT Image Aug 14, 2026, 04_11_28 PM (80).png",Open angle with light pigmentation,Visible pale outer bands and a thin dark posterior margin surround regular iris.,No specific disease is established; pigment grading needs TM localization.,comparison,False,Open Angle No Definite Pathology,high,corroborated,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/080-open-angle-with-light-pigmentation.png,8fabd718523282d6a0cd4b2d77774cf3e82e544222b8274e03f8dcad76f6f054
81,"ChatGPT Image Aug 14, 2026, 04_11_28 PM (81).png",Sectoral inferior pigment deposits,Coarse granules concentrate near 5-7 o'clock across a pale inferior angle and iris patch.,Inferior distribution is clear; deposits extend beyond isolated TM.,core_feature,True,Inferior Predominant TM Pigmentation,low,qualified,Inferior-predominant pigment,Corroborated visible finding; see image-specific limit.,atlas_pig_sectoral.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/081-sectoral-inferior-pigment-deposits.png,1e443d05ec3a108a5fbde0cc0cbaa5adff0a745a996cebda33b5eb133a53062a
82,"ChatGPT Image Aug 14, 2026, 04_11_28 PM (82).png",Inferior-predominant granular pigmentation,Fine dark granules increase through the inferior half and extend onto peripheral iris.,Teach distribution; cause and exact numeric pigment grade are not determined.,core_feature,True,Inferior Predominant TM Pigmentation,low,qualified,Inferior-predominant pigment,Corroborated visible finding; see image-specific limit.,atlas_pig_inferior.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/082-inferior-predominant-granular-pigmentation.png,47d0c5d81c87a130a48a44c698a416326e051f6af16a9b4f8817997cc6eb14f6
83,"ChatGPT Image Aug 14, 2026, 04_11_29 PM (83).png",Light pigmentation with focal inferior granules,"Most anterior bands are light, with a small inferior cluster and adjacent irregularity.",Not a clean moderate-pigment standard; focal material is the specific feature.,review_only,False,Open Angle No Definite Pathology,high,reclassified,,,atlas_pig_moderate.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/083-light-pigmentation-with-focal-inferior-granules.png,9ab70abfb28db45064996b7be2a338d049328249e91803f05f6143db64fbc3ce
84,"ChatGPT Image Aug 14, 2026, 04_11_29 PM (84).png",Patchy peripheral iris pigmentation,Brown clumps form an uneven ring on orange iris with relatively pale anterior bands.,"The most conspicuous pigment is on iris, not solely TM.",comparison,False,Patchy Circumferential TM Pigmentation,moderate,qualified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/084-patchy-peripheral-iris-pigmentation.png,d77121115c049e2344ce24d1bd96abbb50ad4d50a0159d26ba8e7e1e941d17de
85,"ChatGPT Image Aug 14, 2026, 04_11_29 PM (85).png",Inferior hyphema,Dependent dark red blood forms a fluid level across the inferior view.,"The finding does not identify cause, pressure or injury severity.",core_feature,True,Inferior Hyphema,high,corroborated,Inferior hyphema,Corroborated visible finding; see image-specific limit.,atlas_hyphema.png,,"A: printed 45, 94-95, 107 / PDF 46, 95-96, 108; B: printed 21, 113 / PDF 31, 120",images/085-inferior-hyphema.png,f72e9ae19db9cc7828d75e7901f2e41b99e4286d4d8ecfb76f2c4b4fc1abae96
86,"ChatGPT Image Aug 14, 2026, 04_11_29 PM (86).png",Granular trabecular-region pigmentation,Dark irregular granules occupy the posterior part of the pale angle band circumferentially.,The prior no-pathology label misses pigment; numeric severity is not calibrated.,core_feature,True,Open Angle No Definite Pathology,high,reclassified,Visibly granular and pigmented,Corroborated visible finding; see image-specific limit.,atlas_pig_heavy.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/086-granular-trabecular-region-pigmentation.png,8798b8740099413257c773e26a04a6a4f10ae9a3b2c771c36ad881cc6088146d
87,"ChatGPT Image Aug 14, 2026, 04_11_29 PM (87).png",Mixed inferior pale and pigmented deposits,White and dark granules scatter along inferior iris and angle.,The material is nonspecific; inflammation requires context.,comparison,False,Inferior Pigment Debris or Deposits,low,qualified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/087-mixed-inferior-pale-and-pigmented-deposits.png,9ec84840be9c8eba4cb13a927ba38bc2fdaf56525b8768c0a65c022648cd5e12
88,"ChatGPT Image Aug 14, 2026, 04_11_30 PM (88).png",Coarse clumped angle pigmentation,Large irregular dark clumps line the angle with inferior iris deposits.,"Compatible with a PXF pigment pattern, but diagnostic exfoliative material is not established.",core_feature,True,Heavy Patchy TM Pigmentation,moderate,qualified,,,atlas_pseudoexfoliation.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/088-coarse-clumped-angle-pigmentation.png,8f08687cf56d375056ec78d03765acf444333ed283647010fa8818dcf8a35ce5
89,"ChatGPT Image Aug 14, 2026, 04_11_30 PM (89).png",Small inferior hyphema,A shallow dependent red collection has a smooth reflective meniscus.,Distinguish free blood from a thin intramural canal column.,core_feature,True,Inferior Blood in Schlemm Canal or Small Hyphema,low,qualified,,,,,"A: printed 45, 94-95, 107 / PDF 46, 95-96, 108; B: printed 21, 113 / PDF 31, 120",images/089-small-inferior-hyphema.png,3fac7e32267534a05448395c40b96ba4e741752c8b18c74199f9a44053abc47a
90,"ChatGPT Image Aug 14, 2026, 04_11_30 PM (90).png",Central bowl-like material - rendering anomaly,A large translucent bowl and oversized pale particles occupy the central field.,Unsuitable as a ghost-cell or lens-particle exemplar.,review_only,False,Large Inferior Intraocular Material or Implant Unclassifiable,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/090-central-bowl-like-material-rendering-anomaly.png,67dda6165c639333c79b9efad11bcb59376a83116f8eb098433ae2052106bb56
91,"ChatGPT Image Aug 14, 2026, 04_11_30 PM (91).png",Subtle inferior angle granularity,Fine pale-brown granularity increases at the inferior junction.,Particles cannot be identified as ghost cells by appearance alone.,review_only,False,Open Angle No Definite Pathology,high,reclassified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/091-subtle-inferior-angle-granularity.png,fcd3a7e3f4ed51cdfc577e4fc1740194171aac28634be993cc230dbfc33dab5b
92,"ChatGPT Image Aug 14, 2026, 04_11_30 PM (92).png",Inferior yellow-white aggregate and fine deposits,A small smooth yellow-white collection and punctate deposits occupy inferior angle and iris.,"Hypopyon, lens matter and inflammatory cells are not reliably distinguished.",review_only,False,Inferior White Angle Deposits,low,qualified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/092-inferior-yellow-white-aggregate-and-fine-deposits.png,4f8170c3779afc60527e68ebfca2efa881d558f0b57ce006e1c1ee596b90163b
93,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (93).png",Pale peripheral iris with sparse white flecks,Lighter-than-baseline iris has sparse pale flecks and continuous bands.,Pale iris alone does not diagnose Fuchs uveitis or a specific atrophy syndrome.,review_only,False,Diffuse Angle Hypopigmentation,moderate,qualified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/093-pale-peripheral-iris-with-sparse-white-flecks.png,8a31ceb9d2746f1ca970cf52d598060be8e2aecccc2e67fbbe16478cabe99c49
94,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (94).png",Fine radial iris vessels and pale flecks,Thin red vessels cross pale peripheral iris and mostly stop before outer bands; pale flecks are present.,Compare vessel location with #34; Fuchs uveitis cannot be inferred from vessels alone.,core_feature,True,Diffuse Iris Hypopigmentation or Atrophy,low,reclassified,,,,,"A: printed 48, 78-79, 96-98 / PDF 49, 79-80, 97-99; B: printed 20-24, 111-112 / PDF 30-34, 118-119",images/094-fine-radial-iris-vessels-and-pale-flecks.png,d4dc391b2dc9b563576ed64ae6e5dae19034ac26c9be2a456ae50cd6504fb82b
95,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (95).png",Open-appearing angle without a focal lesion,Regular orange iris and continuous pale landmarks have no obvious focal lesion.,Normal-looking gonioscopy does not exclude glaucoma or identify a normal-looking secondary mechanism.,comparison,False,Open Angle No Definite Pathology,high,corroborated,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/095-open-appearing-angle-without-a-focal-lesion.png,a03edad137bf4c12084511a705ef521a5957992a22aefbdcb0618607d731b574
96,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (96).png",Inferior white deposits,Bright refractile white deposits cluster across the inferior iris-angle junction.,Composition is unknown and PAS is not demonstrated.,core_feature,True,Inferior White Angle Deposits,low,corroborated,Inferior white deposits,Corroborated visible finding; see image-specific limit.,atlas_uveitic.png,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/096-inferior-white-deposits.png,18b9b59c7c17143f5cc9ee68061639a57dff78761d042dc9857b8361788fb102
97,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (97).png",Inferior refractile white deposits,A smaller cluster of translucent white particles occupies the inferior junction.,"Lens particles, inflammation and other debris need clinical context.",comparison,False,Inferior White Angle Deposits,low,corroborated,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/097-inferior-refractile-white-deposits.png,6cb11f4a0e766b6fea545b651a80d414b3e31f8cfb5b870e97c421b1fbc83950
98,"ChatGPT Image Aug 14, 2026, 04_11_31 PM (98).png",Focal inferior retained-material appearance,A mottled gray-white fragment near 6 o'clock has a darker surrounding margin.,A retained fragment or foreign body is possible; composition is unknown.,core_feature,True,Focal Inferior Pigmented Angle Lesion,low,reclassified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/098-focal-inferior-retained-material-appearance.png,209f60bb7dfee76b25ee6d977280026eea8f6ef581ace00e32470776ba92e1fc
99,"ChatGPT Image Aug 14, 2026, 04_11_32 PM (99).png",Inferior rust-brown iris discoloration,Rust-red stippling increases across inferior iris while pale bands stay visible.,Color alone does not establish siderosis or an iron foreign body.,review_only,False,Open Angle No Definite Pathology,high,reclassified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/099-inferior-rust-brown-iris-discoloration.png,1e5b1984bbe5fbbeb0e1c3416d68bae5e09ebde01ae67c5596fa330b4a517f63
100,"ChatGPT Image Aug 14, 2026, 04_11_32 PM (100).png",Large pigmented inferior iris mass,A bulky irregular brown mass occupies a broad inferior-right sector and deforms iris contour.,A mass is visible; melanoma and invasion need further examination.,review_only,False,Large Inferotemporal Peripheral Anterior Synechia or Mass,low,qualified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/100-large-pigmented-inferior-iris-mass.png,850b30fb46a1ca026e40b7b60a2ed085f684af95563229271653a08d91436b6c
101,"ChatGPT Image Aug 14, 2026, 04_11_32 PM (101).png",Focal pigmented inferior-right iris mass,A smaller textured mass near 4-5 o'clock deforms iris contour beside exposed bands.,Teach mass recognition rather than histologic diagnosis or invasion.,core_feature,True,Sectoral Inferotemporal PAS or Pigmented Mass,low,qualified,,,,,A: printed 39 / PDF 40; B: printed 61 / PDF 69,images/101-focal-pigmented-inferior-right-iris-mass.png,979071ed5cba4ef4175246d963dec24419639e4c0899cd4a98ce98a89cd84215
102,"ChatGPT Image Aug 14, 2026, 04_11_32 PM (102).png",Circumferential red canal-like line,A narrow unbranched red line follows the posterior trabecular region without a free blood level.,Canal blood is plausible if the line lies anterior to the spur; localization and cause require confirmation.,comparison,False,Open Angle No Definite Pathology,high,reclassified,,,,,"A: printed 45, 94-95, 107 / PDF 46, 95-96, 108; B: printed 21, 113 / PDF 31, 120",images/102-circumferential-red-canal-like-line.png,276429dfae00d9f0b4bec5f853bdf5b0220b0ed8e3447be2eb182768f1432c7e
103,"ChatGPT Image Aug 14, 2026, 04_11_32 PM (103).png",Broad pale posterior angle band,A wide pale-gray posterior band with fine vessels surrounds iris beside anterior landmarks.,Excessive pallor and duplicated-looking boundaries limit calibration use.,review_only,False,Narrow Angle,high,reclassified,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/103-broad-pale-posterior-angle-band.png,b2937a1b3595b99085469460c49b926b43075a785c325f6f7fbace6cafed4772
104,"ChatGPT Image Aug 14, 2026, 04_11_33 PM (104).png",Broad brown posterior angle band,An expanded brown posterior band surrounds iris with another pale posterior border.,A deep appearance is visible; iris retraction syndrome and recession need independent evidence.,comparison,False,Very Narrow or Closed Angle,high,reclassified,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/104-broad-brown-posterior-angle-band.png,460404bdb5cd3d4da8fd02c332324c026e8068b6fba6b47d316b91600223606c
105,"ChatGPT Image Aug 14, 2026, 04_11_33 PM (105).png",Peripheral corneal-side vessels,Fine red vessels lie in the outer pale band anterior to the dark angle band; iris is largely avascular.,"Useful for vessel-plane comparison, not a diagnosis of interstitial keratitis or NVA.",core_feature,True,Prominent Radial Episcleral or Angle Vessels,low,qualified,,,,,"A: printed 48, 78-79, 96-98 / PDF 49, 79-80, 97-99; B: printed 20-24, 111-112 / PDF 30-34, 118-119",images/105-peripheral-corneal-side-vessels.png,fd01082fe34fe122c109637a6c180f55634ba5135ffbafd507b970813c630efa
106,"ChatGPT Image Aug 14, 2026, 04_11_33 PM (106).png",Angle recession pattern,An inferior-left sector has a widened gray ciliary body face and posterior iris insertion step with continuous anterior landmarks.,"Supports recession, not PDS; trauma history and fellow-eye comparison add clinical confirmation.",core_feature,True,Inferior Cyclodialysis or Iridodialysis Like Cleft,low,reclassified,,,atlas_pigment_dispersion.png,,A: printed 102-105 / PDF 103-106; B: printed 114-116 / PDF 121-123,images/106-angle-recession-pattern.png,29bd832e83e8a8d2aa4b85360c56fde57fba4a70b8cf2c5003eb8496072bcba5
107,"ChatGPT Image Aug 14, 2026, 04_11_33 PM (107).png",Iridodialysis pattern,A ragged full-thickness inferior-right iris-root defect exposes dark lobulated tissue.,An iris-root tear differs from ciliary-body disinsertion; rendered edges are exaggerated.,core_feature,True,Large Inferotemporal Iris Tear or Dialysis,low,qualified,,,,,A: printed 102-105 / PDF 103-106; B: printed 114-116 / PDF 121-123,images/107-iridodialysis-pattern.png,64f03c6d67dbfa82ba5dfdbd1f7472b02e77baff0e30c8b62397548f3d2c8f49
